ID,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,yr1,yr2,north,south,year,region
YL-K00,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2015,north
YL-F57,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F56,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
YL-F53,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F51,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2015,south
YL-F50,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2015,south
YL-F46,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2015,south
YL-F44,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F43,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2015,south
YL-F40,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
YL-F38,0,0,1,1,1,1,0,1,0,0,0,1,0,1,2015,south
YL-F35,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F34,0,0,0,1,0,1,1,1,0,0,0,1,0,1,2015,south
YL-F32,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F31,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2015,south
YL-F29,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,south
YL-F28,0,0,1,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F26,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F24,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2015,south
YL-F23,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F21,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2015,south
YL-F20,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2015,south
YL-F18,0,1,1,0,0,1,0,0,0,0,0,1,0,1,2015,south
YL-F17,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2015,south
YL-E20,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
YL-E19,0,0,0,1,0,1,1,1,1,0,0,1,1,0,2015,north
YL-E18,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2015,north
YL-E15,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2015,north
YL-E14,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2015,north
YL-E13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-E12,0,0,0,1,1,0,0,1,0,1,0,1,1,0,2015,north
YL-E10,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-E08,1,1,1,1,1,0,1,1,1,0,0,1,1,0,2015,north
YL-E06,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2015,north
YL-E05,0,0,0,1,0,0,0,1,1,1,0,1,1,0,2015,north
YL-E04,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-E03,0,0,0,1,0,0,1,1,1,1,0,1,1,0,2015,north
YL-E02,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-E01,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B85,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2015,north
YL-B83,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2015,north
YL-B78,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B77,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2015,north
YL-B71,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-B68,0,0,0,1,1,0,1,1,1,0,0,1,1,0,2015,north
YL-B66,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2015,north
YL-B60,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B59,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-B50,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
YL-B48,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-B46,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2015,north
RD-Y38,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2015,north
RD-Y37,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-Y36,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-Y35,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2015,north
RD-Y34,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-Y28,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-Y26,0,0,0,0,1,0,1,0,1,1,0,1,1,0,2015,north
RD-Y25,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2015,north
RD-X51,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2015,north
RD-X48,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-X42,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2015,north
RD-X40,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-X38,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2015,north
RD-X37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-X34,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-X32,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-X28,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-X25,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
